entries,size_MB,avg_ns
1,0.000976562,5.32259
1,0.000976562,5.22777
1,0.000976562,5.17447
1,0.000976562,5.15233
1,0.000976562,5.052
1,0.000976562,4.98494
2,0.00195312,5.04766
2,0.00195312,5.1968
2,0.00195312,4.99186
3,0.00292969,5.08065
3,0.00292969,5.26594
4,0.00390625,5.21953
4,0.00390625,5.07298
5,0.00488281,5.0847
5,0.00488281,5.05775
6,0.00585938,5.01064
7,0.00683594,5.03786
8,0.0078125,5.1649
9,0.00878906,5.13531
10,0.00976562,5.08305
12,0.0117188,5.10285
14,0.0136719,5.02546
16,0.015625,5.04847
18,0.0175781,5.12437
20,0.0195312,5.01555
23,0.0224609,5.03583
26,0.0253906,5.00581
30,0.0292969,4.95895
34,0.0332031,4.89307
38,0.0371094,5.18083
43,0.0419922,5.71032
49,0.0478516,8.06768
56,0.0546875,8.35127
63,0.0615234,8.41927
72,0.0703125,8.25369
82,0.0800781,8.43673
93,0.0908203,8.35179
105,0.102539,8.34905
120,0.117188,8.32827
136,0.132812,8.43015
154,0.150391,8.51752
175,0.170898,8.82613
198,0.193359,9.47854
225,0.219727,8.53526
256,0.25,8.53676
290,0.283203,9.02179
329,0.321289,9.40394
373,0.364258,9.48022
423,0.413086,9.61149
480,0.46875,9.52325
545,0.532227,9.62717
618,0.603516,9.76053
701,0.68457,9.85932
795,0.776367,10.4843
902,0.880859,10.9266
1024,1,11.712
1161,1.13379,13.9625
1317,1.28613,15.7669
1494,1.45898,17.7643
1695,1.65527,19.6425
1922,1.87695,23.3797
2181,2.12988,21.315
2474,2.41602,22.1516
2806,2.74023,22.1291
3183,3.1084,22.221
3610,3.52539,22.6379
4095,3.99902,22.0309
4646,4.53711,22.1407
5270,5.14648,23.328
5978,5.83789,24.3262
6780,6.62109,22.9188
7691,7.51074,28.3351
8724,8.51953,34.3671
9896,9.66406,44.2188
11225,10.9619,48.9016
12733,12.4346,53.6222
14443,14.1045,59.8313
16383,15.999,61.4573
18584,18.1484,63.6442
21080,20.5859,65.7577
23912,23.3516,65.0564
27123,26.4873,66.107
30766,30.0449,67.6672
34899,34.0811,65.2256
39586,38.6582,65.4805
44903,43.8506,64.5952
50934,49.7402,64.627
57775,56.4209,65.0853
65536,64,66.6538
74338,72.5957,65.4953
84322,82.3457,65.5528
95648,93.4062,65.1066
108495,105.952,69.7031
123067,120.183,66.4451
139597,136.325,69.4503
158346,154.635,69.183
179614,175.404,67.6256
203739,198.964,65.3551
231103,225.687,65.0492
262144,256,65.1623
